class,precision,recall,f1_score,support
airplane,0.8233183856502242,0.918,0.8680851063829788,1000.0
automobile,0.9245098039215687,0.943,0.9336633663366337,1000.0
bird,0.7576285963382737,0.869,0.8095016301816488,1000.0
cat,0.7656903765690377,0.732,0.7484662576687117,1000.0
deer,0.8617886178861789,0.848,0.8548387096774194,1000.0
dog,0.8394004282655246,0.784,0.8107549120992761,1000.0
frog,0.9241952232606438,0.89,0.9067753438614365,1000.0
horse,0.9334811529933481,0.842,0.8853838065194533,1000.0
ship,0.9270729270729271,0.928,0.927536231884058,1000.0
truck,0.9202453987730062,0.9,0.910010111223458,1000.0
macro avg,0.8677330910730733,0.8654,0.8655015475835073,10000.0
weighted avg,0.8677330910730734,0.8654,0.8655015475835075,10000.0
accuracy,0.8654,,,10000
