epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds
1,1.354,50.83,1.3179,53.68,28.3
2,0.9552,66.24,1.1369,59.96,28.1
3,0.7867,72.4,0.9621,66.78,26.8
4,0.6921,75.96,0.6291,78.34,26.9
5,0.6237,78.53,0.819,72.72,27.0
6,0.577,79.89,0.6481,78.34,27.2
7,0.5371,81.56,0.6566,77.5,27.0
8,0.5105,82.36,0.4991,83.08,26.9
9,0.4826,83.31,0.4816,83.24,33.5
10,0.4614,83.98,0.4826,83.54,30.8
11,0.4436,84.57,0.4793,83.42,31.6
12,0.428,85.09,0.4466,84.44,28.5
13,0.4105,85.75,0.4966,83.58,27.4
14,0.3966,86.37,0.4074,86.32,27.4
15,0.384,86.67,0.375,87.26,27.3
16,0.3691,87.27,0.4115,86.66,27.8
17,0.3593,87.65,0.3733,87.28,27.2
18,0.3474,87.99,0.3476,87.9,27.2
19,0.3392,88.23,0.3983,86.12,27.4
20,0.3293,88.5,0.3293,88.48,27.6
21,0.3156,88.88,0.3168,89.16,29.4
22,0.3068,89.41,0.3635,87.7,27.2
23,0.3033,89.54,0.3189,89.08,27.8
24,0.2953,89.72,0.3029,89.46,27.2
25,0.2887,89.9,0.3195,88.84,27.2
26,0.2814,90.22,0.2988,89.72,27.2
27,0.2736,90.43,0.2737,90.6,27.3
28,0.2665,90.76,0.2712,90.72,28.2
29,0.2586,91.05,0.2602,90.86,30.9
30,0.2578,90.82,0.261,91.14,29.8
31,0.2503,91.26,0.2079,92.68,30.8
32,0.2492,91.37,0.2951,89.66,30.2
33,0.239,91.68,0.2436,91.68,32.2
34,0.2336,91.78,0.2105,92.36,32.3
35,0.2268,92.07,0.24,91.68,27.8
36,0.2271,91.95,0.2748,90.84,26.8
37,0.2228,91.97,0.2181,92.34,27.2
38,0.2156,92.37,0.2036,92.66,26.9
39,0.2128,92.49,0.2196,91.98,26.8
40,0.2078,92.75,0.2123,92.52,27.4
41,0.2044,92.79,0.2026,92.92,27.6
42,0.2028,92.83,0.2346,91.84,27.5
43,0.1956,93.06,0.1901,93.38,27.2
44,0.1909,93.28,0.2448,90.98,27.4
45,0.1903,93.16,0.2052,92.76,26.9
46,0.186,93.41,0.2035,92.62,26.8
47,0.1816,93.67,0.1991,93.02,27.0
48,0.1803,93.56,0.178,93.9,27.6
49,0.1827,93.45,0.1986,92.8,27.6
50,0.1791,93.62,0.1712,94.24,27.6
