class,cnn_precision,resnet_precision,precision_difference,cnn_recall,resnet_recall,recall_difference,cnn_f1,resnet_f1,f1_difference
airplane,0.8233183856502242,0.9016083254493851,0.07828993979916088,0.918,0.953,0.03499999999999992,0.8680851063829788,0.926592124453087,0.058507018070108274
automobile,0.9245098039215687,0.9694811800610377,0.044971376139469,0.943,0.953,0.010000000000000009,0.9336633663366337,0.9611699445284921,0.027506578191858422
bird,0.7576285963382737,0.8502824858757062,0.09265388953743248,0.869,0.903,0.03400000000000003,0.8095016301816488,0.8758486905916586,0.06634706041000982
cat,0.7656903765690377,0.8583509513742071,0.09266057480516943,0.732,0.812,0.08000000000000007,0.7484662576687117,0.8345323741007195,0.08606611643200779
deer,0.8617886178861789,0.9264853977844915,0.06469677989831257,0.848,0.92,0.07200000000000006,0.8548387096774194,0.9232313095835424,0.06839259990612301
dog,0.8394004282655246,0.8339517625231911,-0.005448665742333492,0.784,0.899,0.11499999999999999,0.8107549120992761,0.865255052935515,0.054500140836238886
frog,0.9241952232606438,0.9616204690831557,0.03742524582251183,0.89,0.902,0.01200000000000001,0.9067753438614365,0.9308565531475749,0.024081209286138328
horse,0.9334811529933481,0.9608247422680413,0.02734358927469316,0.842,0.932,0.09000000000000008,0.8853838065194533,0.9461928934010152,0.06080908688156195
ship,0.9270729270729271,0.9675732217573222,0.04050029468439509,0.928,0.925,-0.0030000000000000027,0.927536231884058,0.9458077709611452,0.01827153907708723
truck,0.9202453987730062,0.9360865290068829,0.015841130233876788,0.9,0.952,0.051999999999999935,0.910010111223458,0.9439762022806147,0.033966091057156755
