class,precision,recall,f1_score,support
airplane,0.9016083254493851,0.953,0.926592124453087,1000.0
automobile,0.9694811800610377,0.953,0.9611699445284921,1000.0
bird,0.8502824858757062,0.903,0.8758486905916586,1000.0
cat,0.8583509513742071,0.812,0.8345323741007195,1000.0
deer,0.9264853977844915,0.92,0.9232313095835424,1000.0
dog,0.8339517625231911,0.899,0.865255052935515,1000.0
frog,0.9616204690831557,0.902,0.9308565531475749,1000.0
horse,0.9608247422680413,0.932,0.9461928934010152,1000.0
ship,0.9675732217573222,0.925,0.9458077709611452,1000.0
truck,0.9360865290068829,0.952,0.9439762022806147,1000.0
macro avg,0.9166265065183421,0.9151,0.9153462915983365,10000.0
weighted avg,0.9166265065183421,0.9151,0.9153462915983366,10000.0
accuracy,0.9151,,,10000
